ID,scenario,player_a,player_b
1,Mike and Mark were starting a business together. Mike didn't include Mark in an important deal even though they shared the startup idea.,Mark,Mike
2,Bill is a child who broke a toy owned by Jim.,Jim,Bill
3,"Ralph borrowed $50 from Dawn, and promised to pay Dawn back on Thursday. Thursday came and went and Ralph still has not paid Dawn back.",Dawn,Ralph
4,"Arianne and Robert and girlfriend and boyfriend. They started watching The Office together and they promised to watch every episode together, but one day Robert was very bored so he watched a few episodes without telling her, and she found out.",Arianne,Robert
5,Bobby took money from his friend Greg's wallet.,Greg,Bobby
6,"Debbie was paid to take care of John's dog while John was on vacation. However, Debbie fed the dog chocolate, leading to it dying.",John,Debbie
7,"Alexa and Cat have trivia night with mutual friends, and Cat cheats to win the game and takes home the prize money.",Alexa,Cat
8,Jacob is a professional dog watcher. He was watching Lauren's dog when the dog ran away.,Lauren,Jacob
9,Tim borrowed Ann's car and damaged the front fender.,Ann,Tim
10,Jack took money out of Jane's purse. He didn't ask her and she didn't want to give him any more money.,Jane,Jack
11,"Cari and Tegan are classmates in a school. Tegan frequently laughed at Cari for her accent, making Cari dread attending classes.",Cari,Tegan
12,Carl is an alcoholic that asked to borrow Melanie's car to go to the post office. She told him he could but only if he went there and straight back. Instead Carl went to the bar and got drunk and tried to drive home and ended up crashing the car into a tree.,Melanie,Carl
13,"At an office, Fathia didn't invite Sara to outings, making her feel isolated and left out.",Sara,Fathia
14,"Two girls, Maya and Deli, are sisters. Although Maya is older than Deli, Maya and Deli were forced by their parents to reach an agreement on how the chores should be split. They both agreed that one person will sweep and mop the entire house, while the other person will cook and do the dishes. On Thursday, Maya did not do her chores, hence Deli had to do all the chores.",Deli,Maya
15,"Shannon borrows $3,000 from her friend Dylan to start a new business and promises to pay it back. Shannon later decides to close the business but does not pay the money back to Dylan.",Dylan,Shannon
