context_key,labels,count,CI_Lower,CI_Upper
cost_10,"Communicate, confront, or seek apology",44,32.0,56.0
cost_10,Education or community service,12,6.0,19.0
cost_10,Financial or professional consequences,53,41.0,66.0
cost_10,Forgiveness or restorative justice,3,0.0,7.0
cost_10,Involve other authorities outside legal system,11,5.0,18.0
cost_10,Mediation or arbitration,5,1.0,10.0
cost_10,None of the above,21,13.0,30.024999999999977
cost_10,Other social or interpersonal consequences,58,45.0,71.02499999999998
cost_10,Public shaming or damage reputation,27,18.0,37.0
cost_10,Use the legal system or law enforcement,17,10.0,25.0
cost_10000,"Communicate, confront, or seek apology",41,29.0,53.02499999999998
cost_10000,Education or community service,12,6.0,19.0
cost_10000,Financial or professional consequences,63,51.0,77.0
cost_10000,Forgiveness or restorative justice,6,2.0,11.0
cost_10000,Involve other authorities outside legal system,2,0.0,5.0
cost_10000,Mediation or arbitration,4,1.0,8.0
cost_10000,None of the above,13,7.0,21.0
cost_10000,Other social or interpersonal consequences,46,34.0,59.0
cost_10000,Physical violence or revenge,2,0.0,5.0
cost_10000,Public shaming or damage reputation,28,18.0,38.0
cost_10000,Use the legal system or law enforcement,29,20.0,39.0
deter_impossible,"Communicate, confront, or seek apology",56,44.0,70.0
deter_impossible,Education or community service,5,1.0,10.0
deter_impossible,Financial or professional consequences,38,28.0,49.0
deter_impossible,Forgiveness or restorative justice,5,1.0,10.0
deter_impossible,Involve other authorities outside legal system,10,5.0,16.0
deter_impossible,Mediation or arbitration,9,4.0,15.0
deter_impossible,None of the above,27,18.0,37.0
deter_impossible,Other social or interpersonal consequences,51,39.0,63.0
deter_impossible,Physical violence or revenge,3,0.0,7.0
deter_impossible,Public shaming or damage reputation,22,14.0,31.0
deter_impossible,Use the legal system or law enforcement,21,12.975000000000001,30.0
deter_others_impossible,"Communicate, confront, or seek apology",61,49.0,75.0
deter_others_impossible,Education or community service,9,4.0,15.0
deter_others_impossible,Financial or professional consequences,45,33.0,57.02499999999998
deter_others_impossible,Forgiveness or restorative justice,4,1.0,9.0
deter_others_impossible,Involve other authorities outside legal system,9,4.0,16.0
deter_others_impossible,Mediation or arbitration,4,1.0,8.0
deter_others_impossible,None of the above,16,9.0,23.0
deter_others_impossible,Other social or interpersonal consequences,47,35.975,60.0
deter_others_impossible,Physical violence or revenge,6,2.0,11.0
deter_others_impossible,Public shaming or damage reputation,24,15.0,34.0
deter_others_impossible,Use the legal system or law enforcement,27,18.0,37.0
deter_others_possible,"Communicate, confront, or seek apology",54,41.0,67.0
deter_others_possible,Education or community service,13,7.0,20.0
deter_others_possible,Financial or professional consequences,50,38.0,62.0
deter_others_possible,Forgiveness or restorative justice,3,0.0,7.0
deter_others_possible,Involve other authorities outside legal system,9,4.0,16.0
deter_others_possible,Mediation or arbitration,4,1.0,9.0
deter_others_possible,None of the above,12,6.0,19.0
deter_others_possible,Other social or interpersonal consequences,55,43.0,68.0
deter_others_possible,Physical violence or revenge,3,0.0,7.0
deter_others_possible,Public shaming or damage reputation,25,16.0,35.0
deter_others_possible,Use the legal system or law enforcement,21,13.0,29.0
deter_possible,"Communicate, confront, or seek apology",70,57.0,83.02499999999998
deter_possible,Education or community service,10,4.0,17.0
deter_possible,Financial or professional consequences,53,41.0,65.0
deter_possible,Forgiveness or restorative justice,1,0.0,3.0
deter_possible,Involve other authorities outside legal system,12,6.0,19.0
deter_possible,Mediation or arbitration,6,2.0,11.0
deter_possible,None of the above,13,6.0,20.0
deter_possible,Other social or interpersonal consequences,49,36.975,61.0
deter_possible,Physical violence or revenge,1,0.0,3.0
deter_possible,Public shaming or damage reputation,17,10.0,26.0
deter_possible,Use the legal system or law enforcement,18,11.0,27.0
grim_trigger,"Communicate, confront, or seek apology",49,37.0,61.0
grim_trigger,Education or community service,9,4.0,15.0
grim_trigger,Financial or professional consequences,41,29.0,53.0
grim_trigger,Forgiveness or restorative justice,4,1.0,8.0
grim_trigger,Involve other authorities outside legal system,5,1.0,10.0
grim_trigger,Mediation or arbitration,10,4.975000000000001,16.0
grim_trigger,None of the above,14,7.0,21.0
grim_trigger,Other social or interpersonal consequences,61,48.0,74.0
grim_trigger,Physical violence or revenge,2,0.0,5.0
grim_trigger,Public shaming or damage reputation,27,18.0,37.02499999999998
grim_trigger,Use the legal system or law enforcement,28,19.0,37.02499999999998
interaction_continuous,"Communicate, confront, or seek apology",60,47.0,74.0
interaction_continuous,Education or community service,11,5.0,18.0
interaction_continuous,Financial or professional consequences,34,24.0,45.0
interaction_continuous,Forgiveness or restorative justice,5,1.0,10.0
interaction_continuous,Involve other authorities outside legal system,9,4.0,15.0
interaction_continuous,Mediation or arbitration,7,3.0,12.0
interaction_continuous,None of the above,19,11.0,27.0
interaction_continuous,Other social or interpersonal consequences,62,48.0,75.0
interaction_continuous,Physical violence or revenge,1,0.0,3.0
interaction_continuous,Public shaming or damage reputation,16,9.0,23.0
interaction_continuous,Use the legal system or law enforcement,22,13.0,31.0
interaction_not_continuous,"Communicate, confront, or seek apology",46,35.0,59.0
interaction_not_continuous,Education or community service,9,4.0,16.0
interaction_not_continuous,Financial or professional consequences,49,36.975,62.0
interaction_not_continuous,Involve other authorities outside legal system,8,3.0,14.0
interaction_not_continuous,Mediation or arbitration,2,0.0,5.0
interaction_not_continuous,None of the above,13,7.0,20.0
interaction_not_continuous,Other social or interpersonal consequences,55,43.0,68.0
interaction_not_continuous,Physical violence or revenge,2,0.0,5.0
interaction_not_continuous,Public shaming or damage reputation,35,23.0,46.02499999999998
interaction_not_continuous,Use the legal system or law enforcement,27,18.0,37.0
legal_implications,"Communicate, confront, or seek apology",42,30.0,53.0
legal_implications,Education or community service,6,2.0,11.0
legal_implications,Financial or professional consequences,44,33.0,55.0
legal_implications,Forgiveness or restorative justice,2,0.0,5.0
legal_implications,Involve other authorities outside legal system,3,0.0,7.0
legal_implications,Mediation or arbitration,3,0.0,7.0
legal_implications,None of the above,10,4.0,16.024999999999977
legal_implications,Other social or interpersonal consequences,46,34.975,58.0
legal_implications,Public shaming or damage reputation,20,12.0,29.0
legal_implications,Use the legal system or law enforcement,37,26.975,47.02499999999998
legal_implications_none,"Communicate, confront, or seek apology",58,46.0,71.0
legal_implications_none,Education or community service,8,3.0,13.0
legal_implications_none,Financial or professional consequences,45,33.0,56.0
legal_implications_none,Forgiveness or restorative justice,2,0.0,5.0
