context_key,labels,count,CI_Lower,CI_Upper
cost_10,"Communicate, confront, or seek apology",68,55.0,82.0
cost_10,Education or community service,13,7.0,21.0
cost_10,Financial or professional consequences,42,31.0,53.0
cost_10,Forgiveness or restorative justice,5,1.0,9.0
cost_10,Involve other authorities outside legal system,12,6.0,20.0
cost_10,Mediation or arbitration,12,6.0,19.0
cost_10,None of the above,16,9.0,25.0
cost_10,Other social or interpersonal consequences,45,33.0,57.0
cost_10,Public shaming or damage reputation,29,20.0,39.0
cost_10,Use the legal system or law enforcement,18,10.0,26.0
cost_10000,"Communicate, confront, or seek apology",63,50.0,77.0
cost_10000,Education or community service,12,6.0,19.0
cost_10000,Financial or professional consequences,50,38.0,63.0
cost_10000,Forgiveness or restorative justice,4,1.0,8.0
cost_10000,Involve other authorities outside legal system,7,3.0,12.0
cost_10000,Mediation or arbitration,21,13.0,30.0
cost_10000,None of the above,11,5.0,17.0
cost_10000,Other social or interpersonal consequences,47,35.0,60.0
cost_10000,Public shaming or damage reputation,29,20.0,39.0
cost_10000,Use the legal system or law enforcement,29,19.0,39.02499999999998
deter_impossible,"Communicate, confront, or seek apology",69,54.0,82.0
deter_impossible,Education or community service,8,3.0,14.0
deter_impossible,Financial or professional consequences,25,16.0,34.0
deter_impossible,Forgiveness or restorative justice,3,0.0,7.0
deter_impossible,Involve other authorities outside legal system,14,7.0,22.0
deter_impossible,Mediation or arbitration,9,4.0,16.0
deter_impossible,None of the above,16,9.0,24.0
deter_impossible,Other social or interpersonal consequences,64,50.0,78.0
deter_impossible,Physical violence or revenge,2,0.0,5.0
deter_impossible,Public shaming or damage reputation,30,20.0,40.0
deter_impossible,Use the legal system or law enforcement,20,12.0,30.0
deter_others_impossible,"Communicate, confront, or seek apology",82,69.0,97.0
deter_others_impossible,Education or community service,11,5.0,18.0
deter_others_impossible,Financial or professional consequences,31,21.0,42.0
deter_others_impossible,Forgiveness or restorative justice,4,1.0,8.0
deter_others_impossible,Involve other authorities outside legal system,9,4.0,15.0
deter_others_impossible,Mediation or arbitration,15,8.0,23.0
deter_others_impossible,None of the above,13,6.975000000000001,20.0
deter_others_impossible,Other social or interpersonal consequences,54,42.0,67.0
deter_others_impossible,Physical violence or revenge,1,0.0,3.0
deter_others_impossible,Public shaming or damage reputation,23,14.0,32.0
deter_others_impossible,Use the legal system or law enforcement,21,12.975000000000001,30.0
deter_others_possible,"Communicate, confront, or seek apology",69,55.0,83.02499999999998
deter_others_possible,Education or community service,17,10.0,25.0
deter_others_possible,Financial or professional consequences,48,37.0,60.0
deter_others_possible,Forgiveness or restorative justice,4,1.0,8.0
deter_others_possible,Involve other authorities outside legal system,11,5.0,18.0
deter_others_possible,Mediation or arbitration,11,5.0,18.0
deter_others_possible,None of the above,8,3.0,14.0
deter_others_possible,Other social or interpersonal consequences,46,34.0,58.0
deter_others_possible,Public shaming or damage reputation,34,24.0,44.02499999999998
deter_others_possible,Use the legal system or law enforcement,16,9.0,24.0
deter_possible,"Communicate, confront, or seek apology",85,70.0,99.0
deter_possible,Education or community service,16,8.975000000000001,24.0
deter_possible,Financial or professional consequences,33,22.0,44.0
deter_possible,Forgiveness or restorative justice,9,4.0,15.0
deter_possible,Involve other authorities outside legal system,11,5.0,18.0
deter_possible,Mediation or arbitration,13,7.0,20.0
deter_possible,None of the above,10,5.0,17.0
deter_possible,Other social or interpersonal consequences,55,42.0,69.0
