context_key,labels,count,CI_Lower,CI_Upper
cost_10,Deterrence and preventing future issues,104,89.0,119.0
cost_10,Empowerment of the punisher,25,16.0,35.0
cost_10,Ensures or upholds principles (fairness etc.),31,22.0,41.0
cost_10,Financial compensation and restitution,10,4.0,16.0
cost_10,"Improving reputation, gaining respect, and asserting authority",23,14.0,32.0
cost_10,None of the above,3,0.0,6.0
cost_10,Other emotional benefits,28,18.0,38.0
cost_10,Retribution and emotional or personal satisfaction,20,12.0,29.0
cost_10000,Deterrence and preventing future issues,96,82.0,110.0
cost_10000,Empowerment of the punisher,16,9.0,24.0
cost_10000,Ensures or upholds principles (fairness etc.),33,23.0,43.02499999999998
cost_10000,Financial compensation and restitution,14,7.0,22.0
cost_10000,"Improving reputation, gaining respect, and asserting authority",33,23.0,44.0
cost_10000,None of the above,5,1.0,10.0
cost_10000,Other emotional benefits,22,13.975000000000001,31.0
cost_10000,Retribution and emotional or personal satisfaction,25,16.0,35.0
deter_impossible,Deterrence and preventing future issues,109,94.0,125.0
deter_impossible,Empowerment of the punisher,31,21.0,42.0
deter_impossible,Ensures or upholds principles (fairness etc.),14,7.975000000000001,21.0
deter_impossible,Financial compensation and restitution,6,2.0,11.0
deter_impossible,"Improving reputation, gaining respect, and asserting authority",22,13.0,31.0
deter_impossible,None of the above,4,1.0,8.0
deter_impossible,Other emotional benefits,27,18.0,37.0
deter_impossible,Retribution and emotional or personal satisfaction,33,23.0,44.0
deter_others_impossible,Deterrence and preventing future issues,129,114.0,144.0
deter_others_impossible,Empowerment of the punisher,19,11.0,27.0
deter_others_impossible,Ensures or upholds principles (fairness etc.),15,8.0,23.0
deter_others_impossible,Financial compensation and restitution,6,2.0,11.0
deter_others_impossible,"Improving reputation, gaining respect, and asserting authority",19,11.0,28.0
deter_others_impossible,None of the above,5,1.0,10.0
deter_others_impossible,Other emotional benefits,28,18.0,39.0
deter_others_impossible,Retribution and emotional or personal satisfaction,28,18.975,38.0
deter_others_possible,Deterrence and preventing future issues,106,90.0,122.0
deter_others_possible,Empowerment of the punisher,22,14.0,30.024999999999977
deter_others_possible,Ensures or upholds principles (fairness etc.),25,16.0,34.0
deter_others_possible,Financial compensation and restitution,11,5.0,18.0
deter_others_possible,"Improving reputation, gaining respect, and asserting authority",34,24.0,45.0
deter_others_possible,None of the above,11,5.0,18.0
deter_others_possible,Other emotional benefits,27,18.0,37.0
deter_others_possible,Retribution and emotional or personal satisfaction,13,7.0,21.0
deter_possible,Deterrence and preventing future issues,116,100.0,132.0
deter_possible,Empowerment of the punisher,24,16.0,33.0
deter_possible,Ensures or upholds principles (fairness etc.),20,12.0,28.0
deter_possible,Financial compensation and restitution,8,3.0,14.0
deter_possible,"Improving reputation, gaining respect, and asserting authority",23,15.0,31.0
deter_possible,None of the above,8,3.0,14.0
deter_possible,Other emotional benefits,25,16.0,35.02499999999998
deter_possible,Retribution and emotional or personal satisfaction,25,17.0,35.0
grim_trigger,Deterrence and preventing future issues,108,92.975,123.02499999999998
grim_trigger,Empowerment of the punisher,20,12.0,30.0
grim_trigger,Ensures or upholds principles (fairness etc.),36,25.0,47.0
grim_trigger,Financial compensation and restitution,13,6.0,20.0
grim_trigger,"Improving reputation, gaining respect, and asserting authority",26,17.0,36.0
grim_trigger,None of the above,9,4.0,15.0
grim_trigger,Other emotional benefits,23,15.0,33.0
grim_trigger,Retribution and emotional or personal satisfaction,12,6.0,18.0
interaction_continuous,Deterrence and preventing future issues,93,79.0,108.0
interaction_continuous,Empowerment of the punisher,17,10.0,25.0
interaction_continuous,Ensures or upholds principles (fairness etc.),35,25.0,46.0
interaction_continuous,Financial compensation and restitution,19,11.0,28.0
interaction_continuous,"Improving reputation, gaining respect, and asserting authority",27,17.975,36.02499999999998
interaction_continuous,None of the above,5,1.0,10.0
interaction_continuous,Other emotional benefits,38,28.0,50.0
interaction_continuous,Retribution and emotional or personal satisfaction,7,2.0,13.0
interaction_not_continuous,Deterrence and preventing future issues,89,74.0,103.0
interaction_not_continuous,Empowerment of the punisher,17,9.0,26.0
interaction_not_continuous,Ensures or upholds principles (fairness etc.),25,16.0,34.0
interaction_not_continuous,Financial compensation and restitution,18,10.0,26.0
interaction_not_continuous,"Improving reputation, gaining respect, and asserting authority",23,15.0,32.0
interaction_not_continuous,None of the above,7,2.0,12.024999999999977
interaction_not_continuous,Other emotional benefits,43,31.0,55.0
interaction_not_continuous,Retribution and emotional or personal satisfaction,21,13.0,30.0
legal_implications,Deterrence and preventing future issues,77,64.0,90.0
legal_implications,Empowerment of the punisher,13,6.0,20.024999999999977
legal_implications,Ensures or upholds principles (fairness etc.),26,17.0,36.0
legal_implications,Financial compensation and restitution,18,11.0,26.0
legal_implications,"Improving reputation, gaining respect, and asserting authority",19,11.0,28.0
legal_implications,None of the above,12,6.0,19.0
legal_implications,Other emotional benefits,21,13.0,30.0
legal_implications,Retribution and emotional or personal satisfaction,20,11.975000000000001,28.0
legal_implications_none,Deterrence and preventing future issues,92,78.0,107.0
legal_implications_none,Empowerment of the punisher,21,13.0,29.0
legal_implications_none,Ensures or upholds principles (fairness etc.),28,18.975,38.0
legal_implications_none,Financial compensation and restitution,15,8.0,23.0
legal_implications_none,"Improving reputation, gaining respect, and asserting authority",26,17.0,36.0
legal_implications_none,None of the above,8,3.0,14.0
legal_implications_none,Other emotional benefits,30,20.0,40.0
legal_implications_none,Retribution and emotional or personal satisfaction,26,17.0,35.0
no_context,Deterrence and preventing future issues,91,76.0,105.0
no_context,Empowerment of the punisher,13,7.0,20.0
no_context,Ensures or upholds principles (fairness etc.),47,36.0,60.0
no_context,Financial compensation and restitution,23,14.0,33.0
no_context,"Improving reputation, gaining respect, and asserting authority",16,9.0,24.0
no_context,None of the above,8,3.0,14.0
no_context,Other emotional benefits,24,15.0,34.0
no_context,Retribution and emotional or personal satisfaction,13,7.0,20.0
offense_will_not_recur,Deterrence and preventing future issues,80,66.0,95.0
offense_will_not_recur,Empowerment of the punisher,15,8.0,22.0
offense_will_not_recur,Ensures or upholds principles (fairness etc.),57,44.0,71.0
offense_will_not_recur,Financial compensation and restitution,22,14.0,30.0
offense_will_not_recur,"Improving reputation, gaining respect, and asserting authority",22,14.0,31.024999999999977
offense_will_not_recur,None of the above,10,4.0,16.0
offense_will_not_recur,Other emotional benefits,27,18.0,37.0
offense_will_not_recur,Retribution and emotional or personal satisfaction,14,8.0,21.0
offense_will_recur,Deterrence and preventing future issues,91,76.0,106.0
offense_will_recur,Empowerment of the punisher,16,9.0,24.0
offense_will_recur,Ensures or upholds principles (fairness etc.),38,27.0,50.0
offense_will_recur,Financial compensation and restitution,19,11.0,28.0
offense_will_recur,"Improving reputation, gaining respect, and asserting authority",26,17.0,35.0
offense_will_recur,None of the above,13,6.0,20.0
offense_will_recur,Other emotional benefits,29,20.0,39.0
offense_will_recur,Retribution and emotional or personal satisfaction,15,8.0,23.0
offense_will_recur_despite_punishment,Deterrence and preventing future issues,109,94.0,124.0
offense_will_recur_despite_punishment,Empowerment of the punisher,15,8.0,23.0
offense_will_recur_despite_punishment,Ensures or upholds principles (fairness etc.),38,27.0,49.0
offense_will_recur_despite_punishment,Financial compensation and restitution,18,10.0,26.0
offense_will_recur_despite_punishment,"Improving reputation, gaining respect, and asserting authority",24,16.0,34.0
offense_will_recur_despite_punishment,None of the above,9,3.9750000000000014,16.0
offense_will_recur_despite_punishment,Other emotional benefits,24,16.0,34.0
offense_will_recur_despite_punishment,Retribution and emotional or personal satisfaction,8,3.0,14.0
others_ambivalent,Deterrence and preventing future issues,90,74.0,106.0
others_ambivalent,Empowerment of the punisher,17,10.0,25.0
others_ambivalent,Ensures or upholds principles (fairness etc.),42,30.975,55.0
others_ambivalent,Financial compensation and restitution,17,10.0,25.0
others_ambivalent,"Improving reputation, gaining respect, and asserting authority",28,19.0,39.0
others_ambivalent,None of the above,6,2.0,11.0
others_ambivalent,Other emotional benefits,27,17.0,36.0
others_ambivalent,Retribution and emotional or personal satisfaction,19,11.0,28.0
others_do_not_want_punishment,Deterrence and preventing future issues,87,72.0,102.0
others_do_not_want_punishment,Empowerment of the punisher,16,9.0,24.0
others_do_not_want_punishment,Ensures or upholds principles (fairness etc.),42,30.0,54.0
others_do_not_want_punishment,Financial compensation and restitution,15,8.0,23.0
others_do_not_want_punishment,"Improving reputation, gaining respect, and asserting authority",26,17.0,36.0
others_do_not_want_punishment,None of the above,14,7.0,21.024999999999977
others_do_not_want_punishment,Other emotional benefits,23,14.0,32.0
others_do_not_want_punishment,Retribution and emotional or personal satisfaction,17,9.0,25.0
others_want_punishment,Deterrence and preventing future issues,80,66.0,94.0
others_want_punishment,Empowerment of the punisher,15,8.0,22.0
others_want_punishment,Ensures or upholds principles (fairness etc.),35,25.0,46.0
others_want_punishment,Financial compensation and restitution,16,9.0,24.0
others_want_punishment,"Improving reputation, gaining respect, and asserting authority",38,27.0,49.0
others_want_punishment,None of the above,3,0.0,7.0
