scenario_id,context_key,question_key,prompt,completion,split_index,human_labels,labels
3,interaction_continuous,benefits_desc,"Ralph borrowed $50 from Dawn, and promised to pay Dawn back on Thursday. Thursday came and went and Ralph still has not paid Dawn back. We know for certain that Dawn anticipates that they would continue to have interactions with Ralph, i.e., Ralph will not be going elsewhere, anytime soon. From Dawn's perspective, what are five benefits of punishing Ralph?\n\nAnswer: From Dawn's perspective, five benefits of punishing Ralph are the following:","2. Reinforcing trust and fairness: By punishing Ralph, Dawn is reinforcing the importance of trust and fairness in their relationship. This can help maintain a healthy and balanced relationship between them.",1,Ensures or upholds principles (fairness etc.),Ensures or upholds principles (fairness etc.)
24,interaction_not_continuous,benefits_desc,"At an outside market, Waverly was supposed to share her booth with Missy. Once Missy arrived, Waverly blocked Missy from using the booth. We know for certain that Missy anticipates that they would not continue to have interactions with Waverly, i.e., Waverly will be going elsewhere soon. From Missy's perspective, what are five benefits of punishing Waverly?\n\nAnswer: From Missy's perspective, five benefits of punishing Waverly are the following:","5. Lesson for others: Punishing Waverly can serve as a lesson for others in the market community, demonstrating the consequences of unfair behavior and potentially deterring others from engaging in similar actions.",4,Deterrence and preventing future issues,Deterrence and preventing future issues
11,interaction_continuous,benefits_desc,"Cari and Tegan are classmates in a school. Tegan frequently laughed at Cari for her accent, making Cari dread attending classes. We know for certain that Cari anticipates that they would continue to have interactions with Tegan, i.e., Tegan will not be going elsewhere, anytime soon. From Cari's perspective, what are five benefits of punishing Tegan?\n\nAnswer: From Cari's perspective, five benefits of punishing Tegan are the following:",4. Encouraging empathy: Punishing Tegan could potentially make her realize the hurt she has caused Cari and encourage her to be more empathetic towards others in the future.,3,Deterrence and preventing future issues,Deterrence and preventing future issues
28,interaction_continuous,benefits_desc,"Maria has taken art work that belongs to Yolanda and even though she says she will give it back she refuses to do so. We know for certain that Yolanda anticipates that they would continue to have interactions with Maria, i.e., Maria will not be going elsewhere, anytime soon. From Yolanda's perspective, what are five benefits of punishing Maria?\n\nAnswer: From Yolanda's perspective, five benefits of punishing Maria are the following:",4. Setting an example: Punishing Maria would also set an example for others in their social circle. It would demonstrate that such behavior is not tolerated and that there are consequences for those who engage in it.,3,Deterrence and preventing future issues,Deterrence and preventing future issues
3,interaction_continuous,benefits_desc,"Ralph borrowed $50 from Dawn, and promised to pay Dawn back on Thursday. Thursday came and went and Ralph still has not paid Dawn back. We know for certain that Dawn anticipates that they would continue to have interactions with Ralph, i.e., Ralph will not be going elsewhere, anytime soon. From Dawn's perspective, what are five benefits of punishing Ralph?\n\nAnswer: From Dawn's perspective, five benefits of punishing Ralph are the following:",3. Establishing boundaries: Punishing Ralph helps establish clear boundaries and expectations for their interactions. This can help prevent misunderstandings and conflicts in the future.,2,Deterrence and preventing future issues,Deterrence and preventing future issues
4,interaction_continuous,benefits_desc,"Arianne and Robert and girlfriend and boyfriend. They started watching The Office together and they promised to watch every episode together, but one day Robert was very bored so he watched a few episodes without telling her, and she found out. We know for certain that Arianne anticipates that they would continue to have interactions with Robert, i.e., Robert will not be going elsewhere, anytime soon. From Arianne's perspective, what are five benefits of punishing Robert?\n\nAnswer: From Arianne's perspective, five benefits of punishing Robert are the following:","2. Establishing boundaries and setting expectations for future behavior, ensuring that Robert understands the consequences of breaking promises.",1,Deterrence and preventing future issues,Deterrence and preventing future issues
48,interaction_continuous,benefits_desc,"On a company's Slack channel, Ben frequently sent unsolicited and inappropriate messages to his colleague, Lisa. We know for certain that Lisa anticipates that they would continue to have interactions with Ben, i.e., Ben will not be going elsewhere, anytime soon. From Lisa's perspective, what are five benefits of punishing Ben?\n\nAnswer: From Lisa's perspective, five benefits of punishing Ben are the following:","2. Protection: By addressing Ben's behavior, Lisa can protect herself from further harassment and ensure her own well-being and mental health in the workplace.",1,Deterrence and preventing future issues,Deterrence and preventing future issues
28,interaction_not_continuous,benefits_desc,"Maria has taken art work that belongs to Yolanda and even though she says she will give it back she refuses to do so. We know for certain that Yolanda anticipates that they would not continue to have interactions with Maria, i.e., Maria will be going elsewhere soon. From Yolanda's perspective, what are five benefits of punishing Maria?\n\nAnswer: From Yolanda's perspective, five benefits of punishing Maria are the following:","5. Closure: Seeking punishment for Maria can provide Yolanda with a sense of closure and resolution, allowing her to move on from the incident and focus on more positive aspects of her life.",4,Other emotional benefits,Other emotional benefits
29,interaction_continuous,benefits_desc,"Alex agreed to pay for dinner for him and Amber, but when the check came Alex backed out and asked Amber to pay.  We know for certain that Amber anticipates that they would continue to have interactions with Alex, i.e., Alex will not be going elsewhere, anytime soon. From Amber's perspective, what are five benefits of punishing Alex?\n\nAnswer: From Amber's perspective, five benefits of punishing Alex are the following:","2. Preventing future dishonesty: Punishing Alex can serve as a deterrent for future dishonest behavior, making it less likely that Alex will back out of agreements or try to take advantage of Amber in the future.",1,Deterrence and preventing future issues,Deterrence and preventing future issues
11,interaction_continuous,benefits_desc,"Cari and Tegan are classmates in a school. Tegan frequently laughed at Cari for her accent, making Cari dread attending classes. We know for certain that Cari anticipates that they would continue to have interactions with Tegan, i.e., Tegan will not be going elsewhere, anytime soon. From Cari's perspective, what are five benefits of punishing Tegan?\n\nAnswer: From Cari's perspective, five benefits of punishing Tegan are the following:","1. Deterrence: Punishing Tegan may deter her from continuing to make fun of Cari's accent, as she would associate negative consequences with her actions.",0,Deterrence and preventing future issues,Deterrence and preventing future issues
45,interaction_not_continuous,benefits_desc,"On social media, Jessica shared an embarrassing photo of Kyle without his consent. We know for certain that Kyle anticipates that they would not continue to have interactions with Jessica, i.e., Jessica will be going elsewhere soon. From Kyle's perspective, what are five benefits of punishing Jessica?\n\nAnswer: From Kyle's perspective, five benefits of punishing Jessica are the following:","2. Asserting boundaries: Punishing Jessica can help Kyle establish and assert his personal boundaries, making it clear that he does not tolerate such actions and expects respect for his privacy.",1,"Improving reputation, gaining respect, and asserting authority","Improving reputation, gaining respect, and asserting authority"
31,interaction_continuous,benefits_desc,"Rick is angry at Teddy for drinking the last beer because Teddy told Rick he could have it. We know for certain that Rick anticipates that they would continue to have interactions with Teddy, i.e., Teddy will not be going elsewhere, anytime soon. From Rick's perspective, what are five benefits of punishing Teddy?\n\nAnswer: From Rick's perspective, five benefits of punishing Teddy are the following:","5. Encouraging communication: Punishing Teddy may encourage better communication between them in the future, as Teddy may be more likely to discuss his intentions or desires before acting on them, preventing similar misunderstandings from occurring.",4,Deterrence and preventing future issues,Deterrence and preventing future issues
