context_key,labels,count,CI_Lower,CI_Upper
cost_10,Deterrence and preventing future issues,98,83.0,114.02499999999998
cost_10,Empowerment of the punisher,6,1.0,11.0
cost_10,Ensures or upholds principles (fairness etc.),47,36.0,60.0
cost_10,Financial compensation and restitution,7,3.0,12.0
cost_10,"Improving reputation, gaining respect, and asserting authority",28,19.0,38.0
cost_10,None of the above,12,5.0,19.0
cost_10,Other emotional benefits,34,24.0,44.0
cost_10,Retribution and emotional or personal satisfaction,7,2.0,12.024999999999977
cost_10000,Deterrence and preventing future issues,110,95.0,125.0
cost_10000,Empowerment of the punisher,9,4.0,15.0
cost_10000,Ensures or upholds principles (fairness etc.),41,30.0,52.0
cost_10000,Financial compensation and restitution,6,2.0,11.0
cost_10000,"Improving reputation, gaining respect, and asserting authority",32,23.0,43.0
cost_10000,None of the above,6,2.0,11.0
cost_10000,Other emotional benefits,34,24.0,44.0
cost_10000,Retribution and emotional or personal satisfaction,10,5.0,16.0
deter_impossible,Deterrence and preventing future issues,69,56.0,83.0
deter_impossible,Empowerment of the punisher,18,10.0,26.0
deter_impossible,Ensures or upholds principles (fairness etc.),56,43.0,68.0
deter_impossible,Financial compensation and restitution,2,0.0,5.0
deter_impossible,"Improving reputation, gaining respect, and asserting authority",23,15.0,32.0
deter_impossible,None of the above,6,2.0,11.0
deter_impossible,Other emotional benefits,45,33.0,57.0
deter_impossible,Retribution and emotional or personal satisfaction,14,7.975000000000001,22.0
deter_others_impossible,Deterrence and preventing future issues,74,60.975,88.02499999999998
deter_others_impossible,Empowerment of the punisher,16,8.0,24.0
deter_others_impossible,Ensures or upholds principles (fairness etc.),41,30.0,52.0
deter_others_impossible,Financial compensation and restitution,4,1.0,8.0
deter_others_impossible,"Improving reputation, gaining respect, and asserting authority",23,14.975000000000001,32.0
deter_others_impossible,None of the above,7,2.9750000000000014,13.0
deter_others_impossible,Other emotional benefits,54,41.0,67.0
deter_others_impossible,Retribution and emotional or personal satisfaction,21,13.0,29.024999999999977
deter_others_possible,Deterrence and preventing future issues,101,86.0,116.0
