context_key,labels,count,CI_Lower,CI_Upper
cost_10,"Communicate, confront, or seek apology",77,64.0,91.0
cost_10,Education or community service,17,10.0,26.0
cost_10,Financial or professional consequences,38,27.0,49.02499999999998
cost_10,Forgiveness or restorative justice,7,3.0,12.0
cost_10,Involve other authorities outside legal system,7,3.0,13.0
cost_10,Mediation or arbitration,5,1.0,10.0
cost_10,None of the above,25,15.975000000000001,34.02499999999998
cost_10,Other social or interpersonal consequences,36,25.0,47.0
cost_10,Public shaming or damage reputation,14,7.0,21.024999999999977
cost_10,Use the legal system or law enforcement,17,10.0,25.0
cost_10000,"Communicate, confront, or seek apology",61,48.0,75.0
cost_10000,Education or community service,16,9.0,24.0
cost_10000,Financial or professional consequences,44,33.0,55.0
cost_10000,Forgiveness or restorative justice,3,0.0,6.0
cost_10000,Involve other authorities outside legal system,6,2.0,11.0
cost_10000,Mediation or arbitration,6,2.0,11.0
cost_10000,None of the above,24,15.0,34.0
cost_10000,Other social or interpersonal consequences,28,19.0,38.0
cost_10000,Public shaming or damage reputation,8,3.0,14.0
cost_10000,Use the legal system or law enforcement,20,12.0,29.0
deter_impossible,"Communicate, confront, or seek apology",48,36.0,60.0
deter_impossible,Education or community service,8,3.0,14.0
deter_impossible,Financial or professional consequences,22,13.0,31.0
deter_impossible,Forgiveness or restorative justice,2,0.0,5.0
deter_impossible,Involve other authorities outside legal system,1,0.0,3.0
deter_impossible,Mediation or arbitration,9,4.0,15.0
deter_impossible,None of the above,30,21.0,40.0
deter_impossible,Other social or interpersonal consequences,19,12.0,27.0
deter_impossible,Public shaming or damage reputation,5,1.0,10.0
deter_impossible,Use the legal system or law enforcement,13,7.0,20.0
deter_others_impossible,"Communicate, confront, or seek apology",67,55.0,80.0
deter_others_impossible,Education or community service,8,3.0,14.024999999999977
deter_others_impossible,Financial or professional consequences,17,10.0,25.0
deter_others_impossible,Forgiveness or restorative justice,6,2.0,11.0
deter_others_impossible,Involve other authorities outside legal system,6,2.0,11.0
deter_others_impossible,Mediation or arbitration,9,4.0,15.0
deter_others_impossible,None of the above,21,13.0,30.0
deter_others_impossible,Other social or interpersonal consequences,26,17.0,36.0
deter_others_impossible,Public shaming or damage reputation,8,3.0,14.0
deter_others_impossible,Use the legal system or law enforcement,16,9.0,23.024999999999977
deter_others_possible,"Communicate, confront, or seek apology",75,62.0,88.0
deter_others_possible,Education or community service,12,5.0,19.0
deter_others_possible,Financial or professional consequences,34,24.0,45.0
deter_others_possible,Forgiveness or restorative justice,4,1.0,8.0
deter_others_possible,Involve other authorities outside legal system,11,5.0,18.0
deter_others_possible,Mediation or arbitration,9,4.0,15.0
deter_others_possible,None of the above,24,16.0,33.0
deter_others_possible,Other social or interpersonal consequences,36,26.0,47.0
deter_others_possible,Physical violence or revenge,1,0.0,3.0
deter_others_possible,Public shaming or damage reputation,10,4.0,16.0
deter_others_possible,Use the legal system or law enforcement,16,9.0,24.0
deter_possible,"Communicate, confront, or seek apology",95,80.0,111.0
deter_possible,Education or community service,10,4.0,16.0
deter_possible,Financial or professional consequences,25,16.0,35.0
deter_possible,Forgiveness or restorative justice,5,1.0,9.0
deter_possible,Involve other authorities outside legal system,8,3.0,14.0
deter_possible,Mediation or arbitration,9,4.0,15.0
deter_possible,None of the above,30,20.0,40.0
deter_possible,Other social or interpersonal consequences,33,22.0,44.0
deter_possible,Public shaming or damage reputation,8,3.0,14.0
deter_possible,Use the legal system or law enforcement,17,10.0,25.0
grim_trigger,"Communicate, confront, or seek apology",59,46.0,71.0
grim_trigger,Education or community service,5,1.0,10.0
grim_trigger,Financial or professional consequences,30,21.0,40.0
grim_trigger,Forgiveness or restorative justice,8,3.0,14.0
grim_trigger,Involve other authorities outside legal system,5,1.0,10.0
grim_trigger,Mediation or arbitration,10,4.0,16.024999999999977
grim_trigger,None of the above,34,24.0,45.0
grim_trigger,Other social or interpersonal consequences,24,16.0,33.0
grim_trigger,Public shaming or damage reputation,6,2.0,11.0
grim_trigger,Use the legal system or law enforcement,14,7.0,21.0
interaction_continuous,"Communicate, confront, or seek apology",55,44.0,68.0
interaction_continuous,Education or community service,12,6.0,18.024999999999977
interaction_continuous,Financial or professional consequences,17,10.0,25.0
interaction_continuous,Forgiveness or restorative justice,4,1.0,8.0
interaction_continuous,Involve other authorities outside legal system,2,0.0,5.0
interaction_continuous,Mediation or arbitration,2,0.0,5.0
interaction_continuous,None of the above,27,17.975,36.0
interaction_continuous,Other social or interpersonal consequences,21,13.0,30.0
interaction_continuous,Physical violence or revenge,1,0.0,3.0
interaction_continuous,Public shaming or damage reputation,5,1.0,10.0
interaction_continuous,Use the legal system or law enforcement,12,6.0,19.0
interaction_not_continuous,"Communicate, confront, or seek apology",37,28.0,48.0
interaction_not_continuous,Education or community service,6,2.0,10.024999999999977
interaction_not_continuous,Financial or professional consequences,15,8.0,23.0
interaction_not_continuous,Forgiveness or restorative justice,1,0.0,3.0
interaction_not_continuous,Involve other authorities outside legal system,5,1.0,10.0
interaction_not_continuous,Mediation or arbitration,1,0.0,3.0
interaction_not_continuous,None of the above,28,19.975,37.0
interaction_not_continuous,Other social or interpersonal consequences,13,6.0,20.0
interaction_not_continuous,Public shaming or damage reputation,3,0.0,6.0
interaction_not_continuous,Use the legal system or law enforcement,18,11.0,26.0
legal_implications,"Communicate, confront, or seek apology",36,26.0,46.0
legal_implications,Education or community service,13,7.0,20.0
legal_implications,Financial or professional consequences,23,15.0,32.0
legal_implications,Forgiveness or restorative justice,1,0.0,3.0
legal_implications,Involve other authorities outside legal system,4,1.0,8.0
legal_implications,Mediation or arbitration,5,1.0,10.0
legal_implications,None of the above,26,17.0,36.0
legal_implications,Other social or interpersonal consequences,17,9.0,24.0
legal_implications,Physical violence or revenge,1,0.0,3.0
