context_key,labels,count,CI_Lower,CI_Upper
cost_10,Deterrence and preventing future issues,100,85.0,115.0
cost_10,Empowerment of the punisher,15,8.0,22.024999999999977
cost_10,Ensures or upholds principles (fairness etc.),46,35.0,58.02499999999998
cost_10,Financial compensation and restitution,10,4.0,17.0
cost_10,"Improving reputation, gaining respect, and asserting authority",24,15.0,33.0
cost_10,None of the above,11,5.0,18.0
cost_10,Other emotional benefits,28,19.0,39.0
cost_10,Retribution and emotional or personal satisfaction,6,2.0,11.0
cost_10000,Deterrence and preventing future issues,98,84.0,113.0
cost_10000,Empowerment of the punisher,20,12.0,29.0
cost_10000,Ensures or upholds principles (fairness etc.),41,30.0,53.0
cost_10000,Financial compensation and restitution,16,9.0,24.0
cost_10000,"Improving reputation, gaining respect, and asserting authority",33,24.0,44.0
cost_10000,None of the above,4,0.0,8.0
cost_10000,Other emotional benefits,25,16.975,35.0
cost_10000,Retribution and emotional or personal satisfaction,8,3.0,14.0
deter_impossible,Deterrence and preventing future issues,101,86.0,116.0
deter_impossible,Empowerment of the punisher,35,24.0,47.0
deter_impossible,Ensures or upholds principles (fairness etc.),21,13.0,30.0
deter_impossible,Financial compensation and restitution,9,3.9750000000000014,15.0
deter_impossible,"Improving reputation, gaining respect, and asserting authority",9,4.0,15.0
deter_impossible,None of the above,8,3.0,14.0
deter_impossible,Other emotional benefits,22,14.0,31.0
deter_impossible,Retribution and emotional or personal satisfaction,33,23.975,45.0
deter_others_impossible,Deterrence and preventing future issues,116,100.0,131.02499999999998
deter_others_impossible,Empowerment of the punisher,27,18.0,37.02499999999998
deter_others_impossible,Ensures or upholds principles (fairness etc.),27,18.0,37.0
deter_others_impossible,Financial compensation and restitution,1,0.0,3.0
deter_others_impossible,"Improving reputation, gaining respect, and asserting authority",18,10.0,26.0
deter_others_impossible,None of the above,7,2.0,12.0
deter_others_impossible,Other emotional benefits,29,19.0,38.02499999999998
deter_others_impossible,Retribution and emotional or personal satisfaction,22,14.0,32.0
deter_others_possible,Deterrence and preventing future issues,113,98.0,127.0
deter_others_possible,Empowerment of the punisher,17,10.0,26.0
deter_others_possible,Ensures or upholds principles (fairness etc.),26,17.0,35.0
deter_others_possible,Financial compensation and restitution,9,4.0,15.0
deter_others_possible,"Improving reputation, gaining respect, and asserting authority",30,21.0,40.0
deter_others_possible,None of the above,11,5.0,17.0
deter_others_possible,Other emotional benefits,34,23.0,45.0
deter_others_possible,Retribution and emotional or personal satisfaction,8,3.0,14.0
deter_possible,Deterrence and preventing future issues,93,78.0,108.0
deter_possible,Empowerment of the punisher,26,17.0,36.0
deter_possible,Ensures or upholds principles (fairness etc.),34,24.975,45.0
deter_possible,Financial compensation and restitution,6,2.0,11.0
deter_possible,"Improving reputation, gaining respect, and asserting authority",12,6.0,19.0
deter_possible,None of the above,19,11.0,27.0
deter_possible,Other emotional benefits,37,27.0,48.0
deter_possible,Retribution and emotional or personal satisfaction,18,11.0,27.0
grim_trigger,Deterrence and preventing future issues,85,71.0,98.0
grim_trigger,Empowerment of the punisher,15,8.0,23.0
grim_trigger,Ensures or upholds principles (fairness etc.),30,20.0,40.02499999999998
grim_trigger,Financial compensation and restitution,11,5.0,18.0
grim_trigger,"Improving reputation, gaining respect, and asserting authority",23,15.0,32.0
grim_trigger,None of the above,11,5.0,17.0
grim_trigger,Other emotional benefits,19,12.0,27.0
grim_trigger,Retribution and emotional or personal satisfaction,11,5.0,18.0
interaction_continuous,Deterrence and preventing future issues,67,54.975,79.0
interaction_continuous,Empowerment of the punisher,13,7.0,20.0
interaction_continuous,Ensures or upholds principles (fairness etc.),30,21.0,40.0
interaction_continuous,Financial compensation and restitution,10,5.0,16.0
interaction_continuous,"Improving reputation, gaining respect, and asserting authority",14,7.0,21.0
interaction_continuous,None of the above,14,8.0,21.0
interaction_continuous,Other emotional benefits,24,15.0,33.0
