context_key,labels,count,CI_Lower,CI_Upper
cost_10,Deterrence and preventing future issues,97,82.0,112.0
cost_10,Empowerment of the punisher,7,2.0,12.0
cost_10,Ensures or upholds principles (fairness etc.),48,36.975,62.0
cost_10,Financial compensation and restitution,5,1.0,10.0
cost_10,"Improving reputation, gaining respect, and asserting authority",29,19.0,40.0
cost_10,None of the above,5,1.0,10.0
cost_10,Other emotional benefits,44,33.0,55.02499999999998
cost_10,Retribution and emotional or personal satisfaction,7,2.0,12.0
cost_10000,Deterrence and preventing future issues,93,78.0,108.0
cost_10000,Empowerment of the punisher,12,6.0,19.0
cost_10000,Ensures or upholds principles (fairness etc.),44,32.975,56.0
cost_10000,Financial compensation and restitution,9,4.0,15.0
cost_10000,"Improving reputation, gaining respect, and asserting authority",33,23.0,45.0
cost_10000,None of the above,6,2.0,11.0
cost_10000,Other emotional benefits,36,26.0,47.0
cost_10000,Retribution and emotional or personal satisfaction,7,2.0,13.0
deter_impossible,Deterrence and preventing future issues,59,46.0,72.0
deter_impossible,Empowerment of the punisher,31,20.0,42.0
deter_impossible,Ensures or upholds principles (fairness etc.),53,41.0,66.0
deter_impossible,Financial compensation and restitution,2,0.0,5.0
deter_impossible,"Improving reputation, gaining respect, and asserting authority",22,13.0,31.0
deter_impossible,None of the above,16,8.975000000000001,24.0
deter_impossible,Other emotional benefits,47,35.0,60.0
deter_impossible,Retribution and emotional or personal satisfaction,11,5.0,18.0
deter_others_impossible,Deterrence and preventing future issues,73,59.0,86.02499999999998
deter_others_impossible,Empowerment of the punisher,23,15.0,33.0
deter_others_impossible,Ensures or upholds principles (fairness etc.),37,26.0,48.0
deter_others_impossible,Financial compensation and restitution,6,2.0,11.0
deter_others_impossible,"Improving reputation, gaining respect, and asserting authority",16,9.0,24.0
deter_others_impossible,None of the above,11,5.0,18.0
deter_others_impossible,Other emotional benefits,56,44.0,69.0
deter_others_impossible,Retribution and emotional or personal satisfaction,20,12.0,29.0
deter_others_possible,Deterrence and preventing future issues,96,82.0,111.0
deter_others_possible,Empowerment of the punisher,14,7.0,21.0
deter_others_possible,Ensures or upholds principles (fairness etc.),47,36.0,59.0
deter_others_possible,Financial compensation and restitution,6,2.0,11.0
deter_others_possible,"Improving reputation, gaining respect, and asserting authority",30,20.0,40.0
deter_others_possible,None of the above,8,3.0,14.0
deter_others_possible,Other emotional benefits,35,25.0,46.0
deter_others_possible,Retribution and emotional or personal satisfaction,4,1.0,8.0
deter_possible,Deterrence and preventing future issues,100,86.0,115.0
deter_possible,Empowerment of the punisher,17,10.0,25.0
deter_possible,Ensures or upholds principles (fairness etc.),42,32.0,54.0
deter_possible,Financial compensation and restitution,5,1.0,9.0
deter_possible,"Improving reputation, gaining respect, and asserting authority",22,13.975000000000001,31.0
deter_possible,None of the above,10,4.0,16.0
deter_possible,Other emotional benefits,40,28.0,51.0
deter_possible,Retribution and emotional or personal satisfaction,2,0.0,5.0
grim_trigger,Deterrence and preventing future issues,79,65.975,94.0
grim_trigger,Empowerment of the punisher,14,8.0,21.024999999999977
grim_trigger,Ensures or upholds principles (fairness etc.),60,47.0,73.02499999999998
grim_trigger,Financial compensation and restitution,10,4.0,16.0
grim_trigger,"Improving reputation, gaining respect, and asserting authority",19,11.0,28.0
grim_trigger,None of the above,14,7.0,21.0
grim_trigger,Other emotional benefits,38,26.0,50.0
grim_trigger,Retribution and emotional or personal satisfaction,6,2.0,12.0
interaction_continuous,Deterrence and preventing future issues,95,81.0,108.02499999999998
interaction_continuous,Empowerment of the punisher,7,3.0,12.0
interaction_continuous,Ensures or upholds principles (fairness etc.),63,50.0,75.0
interaction_continuous,Financial compensation and restitution,9,4.0,15.0
interaction_continuous,"Improving reputation, gaining respect, and asserting authority",17,10.0,25.0
interaction_continuous,None of the above,17,10.0,25.0
interaction_continuous,Other emotional benefits,31,22.0,41.0
interaction_continuous,Retribution and emotional or personal satisfaction,1,0.0,3.0
interaction_not_continuous,Deterrence and preventing future issues,96,82.0,111.0
interaction_not_continuous,Empowerment of the punisher,3,0.0,6.0
interaction_not_continuous,Ensures or upholds principles (fairness etc.),46,34.0,59.0
interaction_not_continuous,Financial compensation and restitution,13,7.0,20.0
interaction_not_continuous,"Improving reputation, gaining respect, and asserting authority",17,9.975000000000001,26.0
interaction_not_continuous,None of the above,8,3.0,14.0
interaction_not_continuous,Other emotional benefits,48,36.975,61.0
interaction_not_continuous,Retribution and emotional or personal satisfaction,8,3.0,14.0
legal_implications,Deterrence and preventing future issues,84,69.0,99.0
legal_implications,Empowerment of the punisher,12,6.0,19.0
legal_implications,Ensures or upholds principles (fairness etc.),45,34.0,57.0
legal_implications,Financial compensation and restitution,19,11.0,28.0
legal_implications,"Improving reputation, gaining respect, and asserting authority",23,15.0,33.0
legal_implications,None of the above,8,3.0,14.0
legal_implications,Other emotional benefits,40,29.0,52.0
legal_implications,Retribution and emotional or personal satisfaction,12,5.975000000000001,19.0
legal_implications_none,Deterrence and preventing future issues,104,89.0,121.0
legal_implications_none,Empowerment of the punisher,11,5.0,18.0
legal_implications_none,Ensures or upholds principles (fairness etc.),43,31.0,54.0
legal_implications_none,Financial compensation and restitution,12,6.0,19.0
legal_implications_none,"Improving reputation, gaining respect, and asserting authority",17,10.0,25.0
legal_implications_none,None of the above,9,3.0,15.0
legal_implications_none,Other emotional benefits,43,32.0,54.0
legal_implications_none,Retribution and emotional or personal satisfaction,7,2.0,12.0
no_context,Deterrence and preventing future issues,93,79.0,107.02499999999998
no_context,Empowerment of the punisher,6,2.0,11.0
no_context,Ensures or upholds principles (fairness etc.),60,47.0,73.0
no_context,Financial compensation and restitution,18,11.0,26.0
no_context,"Improving reputation, gaining respect, and asserting authority",8,3.0,13.0
no_context,None of the above,9,4.0,16.0
no_context,Other emotional benefits,47,36.0,58.0
offense_will_not_recur,Deterrence and preventing future issues,87,73.0,101.0
offense_will_not_recur,Empowerment of the punisher,8,3.0,14.0
offense_will_not_recur,Ensures or upholds principles (fairness etc.),52,39.0,64.0
offense_will_not_recur,Financial compensation and restitution,14,8.0,21.0
offense_will_not_recur,"Improving reputation, gaining respect, and asserting authority",12,6.0,19.0
offense_will_not_recur,None of the above,16,9.0,24.0
offense_will_not_recur,Other emotional benefits,50,38.0,62.0
offense_will_not_recur,Retribution and emotional or personal satisfaction,4,1.0,8.0
offense_will_recur,Deterrence and preventing future issues,101,85.0,117.0
offense_will_recur,Empowerment of the punisher,9,4.0,15.0
offense_will_recur,Ensures or upholds principles (fairness etc.),48,36.0,60.0
offense_will_recur,Financial compensation and restitution,9,4.0,15.0
offense_will_recur,"Improving reputation, gaining respect, and asserting authority",9,4.0,15.0
offense_will_recur,None of the above,11,5.0,18.0
offense_will_recur,Other emotional benefits,48,37.0,60.0
offense_will_recur,Retribution and emotional or personal satisfaction,3,0.0,7.0
offense_will_recur_despite_punishment,Deterrence and preventing future issues,101,86.0,116.0
offense_will_recur_despite_punishment,Empowerment of the punisher,10,5.0,17.0
offense_will_recur_despite_punishment,Ensures or upholds principles (fairness etc.),49,38.0,62.0
offense_will_recur_despite_punishment,Financial compensation and restitution,13,7.0,21.0
offense_will_recur_despite_punishment,"Improving reputation, gaining respect, and asserting authority",8,3.0,14.0
offense_will_recur_despite_punishment,None of the above,12,6.0,19.0
offense_will_recur_despite_punishment,Other emotional benefits,47,35.0,58.0
offense_will_recur_despite_punishment,Retribution and emotional or personal satisfaction,2,0.0,5.0
others_ambivalent,Deterrence and preventing future issues,84,69.0,99.0
others_ambivalent,Empowerment of the punisher,15,8.0,22.0
others_ambivalent,Ensures or upholds principles (fairness etc.),51,40.0,63.0
others_ambivalent,Financial compensation and restitution,20,12.0,29.0
others_ambivalent,"Improving reputation, gaining respect, and asserting authority",19,11.0,28.0
others_ambivalent,None of the above,4,1.0,9.0
others_ambivalent,Other emotional benefits,43,31.0,53.0
others_ambivalent,Retribution and emotional or personal satisfaction,10,4.975000000000001,17.0
others_do_not_want_punishment,Deterrence and preventing future issues,90,75.975,105.0
others_do_not_want_punishment,Empowerment of the punisher,16,8.0,23.024999999999977
others_do_not_want_punishment,Ensures or upholds principles (fairness etc.),52,40.0,65.0
others_do_not_want_punishment,Financial compensation and restitution,15,8.0,23.0
others_do_not_want_punishment,"Improving reputation, gaining respect, and asserting authority",13,7.0,20.0
others_do_not_want_punishment,None of the above,12,5.0,19.0
others_do_not_want_punishment,Other emotional benefits,35,24.975,46.02499999999998
others_do_not_want_punishment,Retribution and emotional or personal satisfaction,8,3.0,14.0
others_want_punishment,Deterrence and preventing future issues,79,65.0,94.0
others_want_punishment,Empowerment of the punisher,7,3.0,13.0
others_want_punishment,Ensures or upholds principles (fairness etc.),56,43.0,71.0
others_want_punishment,Financial compensation and restitution,14,7.0,21.024999999999977
others_want_punishment,"Improving reputation, gaining respect, and asserting authority",33,23.0,43.0
others_want_punishment,None of the above,4,1.0,8.0
others_want_punishment,Other emotional benefits,36,25.0,47.02499999999998
others_want_punishment,Retribution and emotional or personal satisfaction,14,7.0,21.024999999999977
others_will_not_punish,Deterrence and preventing future issues,93,79.0,108.0
others_will_not_punish,Empowerment of the punisher,11,5.975000000000001,18.0
others_will_not_punish,Ensures or upholds principles (fairness etc.),58,44.975,71.0
others_will_not_punish,Financial compensation and restitution,20,12.0,29.0
