context_key,labels,count,CI_Lower,CI_Upper
cost_10,"Communicate, confront, or seek apology",49,38.0,62.0
cost_10,Education or community service,3,0.0,7.0
cost_10,Financial or professional consequences,59,47.0,73.0
cost_10,Forgiveness or restorative justice,5,1.0,10.0
cost_10,Involve other authorities outside legal system,9,4.0,15.0
cost_10,None of the above,29,19.0,40.0
cost_10,Other social or interpersonal consequences,42,30.0,53.0
cost_10,Public shaming or damage reputation,22,14.0,31.0
cost_10,Use the legal system or law enforcement,11,5.0,18.0
cost_10000,"Communicate, confront, or seek apology",62,49.0,76.0
cost_10000,Education or community service,9,3.9750000000000014,15.0
cost_10000,Financial or professional consequences,43,31.975,56.0
cost_10000,Forgiveness or restorative justice,9,4.0,15.0
cost_10000,Involve other authorities outside legal system,5,1.0,10.0
cost_10000,Mediation or arbitration,6,2.0,11.0
cost_10000,None of the above,22,14.0,32.0
cost_10000,Other social or interpersonal consequences,40,29.0,51.0
cost_10000,Physical violence or revenge,1,0.0,3.0
cost_10000,Public shaming or damage reputation,13,7.0,20.0
cost_10000,Use the legal system or law enforcement,18,10.0,26.0
deter_impossible,"Communicate, confront, or seek apology",71,58.0,85.0
deter_impossible,Education or community service,14,8.0,21.0
deter_impossible,Financial or professional consequences,28,19.0,37.0
deter_impossible,Forgiveness or restorative justice,4,1.0,8.0
deter_impossible,Involve other authorities outside legal system,10,5.0,16.0
deter_impossible,Mediation or arbitration,8,3.0,13.024999999999977
deter_impossible,None of the above,34,24.0,44.0
deter_impossible,Other social or interpersonal consequences,32,22.0,42.02499999999998
deter_impossible,Public shaming or damage reputation,17,9.975000000000001,25.0
deter_impossible,Use the legal system or law enforcement,15,8.0,23.0
deter_others_impossible,"Communicate, confront, or seek apology",58,45.0,71.0
deter_others_impossible,Education or community service,20,12.0,29.0
deter_others_impossible,Financial or professional consequences,25,16.0,34.0
deter_others_impossible,Forgiveness or restorative justice,8,3.0,14.0
deter_others_impossible,Involve other authorities outside legal system,12,6.0,19.0
deter_others_impossible,Mediation or arbitration,6,1.0,11.0
deter_others_impossible,None of the above,22,14.0,31.0
deter_others_impossible,Other social or interpersonal consequences,37,27.0,48.0
deter_others_impossible,Public shaming or damage reputation,18,10.0,27.0
deter_others_impossible,Use the legal system or law enforcement,20,12.0,29.0
deter_others_possible,"Communicate, confront, or seek apology",54,42.0,66.02499999999998
deter_others_possible,Education or community service,7,2.0,13.0
deter_others_possible,Financial or professional consequences,42,31.0,54.0
deter_others_possible,Forgiveness or restorative justice,3,0.0,7.0
deter_others_possible,Involve other authorities outside legal system,12,5.0,19.0
deter_others_possible,Mediation or arbitration,2,0.0,6.0
deter_others_possible,None of the above,14,7.0,21.0
deter_others_possible,Other social or interpersonal consequences,46,33.0,57.02499999999998
deter_others_possible,Physical violence or revenge,1,0.0,3.0
deter_others_possible,Public shaming or damage reputation,30,20.0,41.0
deter_others_possible,Use the legal system or law enforcement,25,16.0,35.0
deter_possible,"Communicate, confront, or seek apology",59,47.0,72.0
deter_possible,Education or community service,7,2.9750000000000014,12.0
deter_possible,Financial or professional consequences,46,35.0,58.0
deter_possible,Forgiveness or restorative justice,2,0.0,5.0
deter_possible,Involve other authorities outside legal system,11,5.0,18.0
deter_possible,Mediation or arbitration,4,1.0,8.0
deter_possible,None of the above,16,9.0,24.0
deter_possible,Other social or interpersonal consequences,53,40.0,67.0
deter_possible,Physical violence or revenge,1,0.0,3.0
deter_possible,Public shaming or damage reputation,24,15.0,34.0
deter_possible,Use the legal system or law enforcement,14,7.0,22.0
grim_trigger,"Communicate, confront, or seek apology",52,40.0,64.02499999999998
grim_trigger,Education or community service,6,2.0,11.0
grim_trigger,Financial or professional consequences,27,18.0,36.0
grim_trigger,Forgiveness or restorative justice,5,1.0,10.0
grim_trigger,Involve other authorities outside legal system,6,2.0,11.0
grim_trigger,Mediation or arbitration,14,7.0,21.0
grim_trigger,None of the above,29,20.0,39.0
grim_trigger,Other social or interpersonal consequences,35,25.0,46.0
grim_trigger,Public shaming or damage reputation,10,4.0,17.0
grim_trigger,Use the legal system or law enforcement,14,7.0,21.0
interaction_continuous,"Communicate, confront, or seek apology",53,40.975,65.0
interaction_continuous,Education or community service,5,1.0,10.0
interaction_continuous,Financial or professional consequences,41,29.0,52.0
interaction_continuous,Forgiveness or restorative justice,4,1.0,8.0
interaction_continuous,Involve other authorities outside legal system,8,3.0,14.0
interaction_continuous,Mediation or arbitration,2,0.0,5.0
interaction_continuous,None of the above,22,14.0,32.0
interaction_continuous,Other social or interpersonal consequences,67,53.975,82.0
interaction_continuous,Physical violence or revenge,6,2.0,11.0
interaction_continuous,Public shaming or damage reputation,27,17.0,37.0
interaction_continuous,Use the legal system or law enforcement,19,12.0,27.0
interaction_not_continuous,"Communicate, confront, or seek apology",46,35.0,58.0
interaction_not_continuous,Education or community service,2,0.0,5.0
interaction_not_continuous,Financial or professional consequences,38,27.0,49.0
interaction_not_continuous,Forgiveness or restorative justice,3,0.0,7.0
interaction_not_continuous,Involve other authorities outside legal system,11,5.0,18.0
interaction_not_continuous,Mediation or arbitration,1,0.0,3.0
interaction_not_continuous,None of the above,17,9.0,25.0
interaction_not_continuous,Other social or interpersonal consequences,59,47.0,73.0
interaction_not_continuous,Physical violence or revenge,2,0.0,5.0
interaction_not_continuous,Public shaming or damage reputation,42,31.0,54.0
interaction_not_continuous,Use the legal system or law enforcement,27,17.0,37.0
legal_implications,"Communicate, confront, or seek apology",44,33.0,55.0
legal_implications,Education or community service,5,1.0,10.0
legal_implications,Financial or professional consequences,23,15.0,32.0
legal_implications,Forgiveness or restorative justice,4,1.0,8.0
legal_implications,Involve other authorities outside legal system,5,1.0,9.024999999999977
legal_implications,Mediation or arbitration,7,2.0,12.0
legal_implications,None of the above,18,11.0,26.024999999999977
legal_implications,Other social or interpersonal consequences,13,7.0,20.0
