context_key,labels,count,CI_Lower,CI_Upper
cost_10,"Communicate, confront, or seek apology",74,58.0,89.0
cost_10,Education or community service,16,9.0,24.0
cost_10,Financial or professional consequences,70,56.0,85.0
cost_10,Forgiveness or restorative justice,3,0.0,7.0
cost_10,Involve other authorities outside legal system,19,11.0,27.0
cost_10,Mediation or arbitration,4,1.0,8.0
cost_10,None of the above,24,15.0,34.0
cost_10,Other social or interpersonal consequences,89,72.0,105.02499999999998
cost_10,Physical violence or revenge,3,0.0,7.0
cost_10,Public shaming or damage reputation,48,35.0,63.0
cost_10,Use the legal system or law enforcement,21,13.0,30.0
cost_10000,"Communicate, confront, or seek apology",78,63.0,92.0
cost_10000,Education or community service,17,10.0,26.0
cost_10000,Financial or professional consequences,58,45.0,72.0
cost_10000,Forgiveness or restorative justice,12,6.0,20.0
cost_10000,Involve other authorities outside legal system,16,9.0,24.0
cost_10000,Mediation or arbitration,16,9.0,24.0
cost_10000,None of the above,53,40.0,66.0
cost_10000,Other social or interpersonal consequences,76,62.0,91.0
cost_10000,Physical violence or revenge,1,0.0,3.0
cost_10000,Public shaming or damage reputation,36,25.0,47.0
cost_10000,Use the legal system or law enforcement,21,13.0,30.0
deter_impossible,"Communicate, confront, or seek apology",89,74.0,105.02499999999998
deter_impossible,Education or community service,20,12.0,29.0
deter_impossible,Financial or professional consequences,38,26.0,50.0
deter_impossible,Forgiveness or restorative justice,2,0.0,5.0
deter_impossible,Involve other authorities outside legal system,22,13.0,31.0
deter_impossible,Mediation or arbitration,8,3.0,14.0
deter_impossible,None of the above,50,38.0,62.0
deter_impossible,Other social or interpersonal consequences,81,66.0,97.0
deter_impossible,Physical violence or revenge,1,0.0,3.0
deter_impossible,Public shaming or damage reputation,40,29.0,52.0
deter_impossible,Use the legal system or law enforcement,23,14.0,32.0
deter_others_impossible,"Communicate, confront, or seek apology",77,62.975,93.0
deter_others_impossible,Education or community service,29,19.0,38.0
deter_others_impossible,Financial or professional consequences,38,27.0,49.02499999999998
deter_others_impossible,Forgiveness or restorative justice,5,1.0,9.0
