context_key,labels,count,CI_Lower,CI_Upper
cost_10,"Communicate, confront, or seek apology",39,30.0,49.02499999999998
cost_10,Education or community service,5,1.0,9.0
cost_10,Financial or professional consequences,30,21.0,40.0
cost_10,Forgiveness or restorative justice,3,0.0,7.0
cost_10,Involve other authorities outside legal system,4,1.0,8.0
cost_10,Mediation or arbitration,1,0.0,3.0
cost_10,None of the above,20,12.0,29.0
cost_10,Other social or interpersonal consequences,22,14.0,30.0
cost_10,Public shaming or damage reputation,6,2.0,11.0
cost_10,Use the legal system or law enforcement,6,2.0,11.0
cost_10000,"Communicate, confront, or seek apology",36,28.0,45.0
cost_10000,Education or community service,1,0.0,3.0
cost_10000,Financial or professional consequences,10,5.0,16.0
cost_10000,Forgiveness or restorative justice,3,0.0,7.0
cost_10000,Involve other authorities outside legal system,3,0.0,7.0
cost_10000,Mediation or arbitration,3,0.0,7.0
cost_10000,None of the above,19,12.0,27.0
cost_10000,Other social or interpersonal consequences,1,0.0,3.0
cost_10000,Public shaming or damage reputation,1,0.0,3.0
cost_10000,Use the legal system or law enforcement,7,2.0,13.0
deter_impossible,"Communicate, confront, or seek apology",49,39.0,59.0
deter_impossible,Education or community service,7,3.0,12.0
deter_impossible,Financial or professional consequences,9,3.0,15.0
deter_impossible,Forgiveness or restorative justice,1,0.0,3.0
deter_impossible,Involve other authorities outside legal system,4,1.0,8.0
deter_impossible,Mediation or arbitration,4,0.9750000000000014,8.0
deter_impossible,None of the above,20,12.0,28.0
deter_impossible,Other social or interpersonal consequences,10,4.0,16.0
deter_impossible,Public shaming or damage reputation,3,0.0,7.0
deter_impossible,Use the legal system or law enforcement,4,1.0,8.0
deter_others_impossible,"Communicate, confront, or seek apology",51,42.0,60.02499999999998
deter_others_impossible,Education or community service,9,4.0,15.0
deter_others_impossible,Financial or professional consequences,9,4.0,15.0
deter_others_impossible,Forgiveness or restorative justice,3,0.0,6.0
deter_others_impossible,Involve other authorities outside legal system,5,1.0,10.0
deter_others_impossible,Mediation or arbitration,3,0.0,7.0
deter_others_impossible,None of the above,14,8.0,21.0
deter_others_impossible,Other social or interpersonal consequences,10,5.0,16.0
deter_others_impossible,Public shaming or damage reputation,1,0.0,3.0
deter_others_impossible,Use the legal system or law enforcement,2,0.0,5.0
deter_others_possible,"Communicate, confront, or seek apology",65,53.0,78.0
deter_others_possible,Education or community service,18,10.975000000000001,26.0
deter_others_possible,Financial or professional consequences,27,18.0,37.0
deter_others_possible,Forgiveness or restorative justice,2,0.0,5.0
deter_others_possible,Involve other authorities outside legal system,7,2.0,12.0
deter_others_possible,Mediation or arbitration,3,0.0,7.0
deter_others_possible,None of the above,19,11.0,28.0
deter_others_possible,Other social or interpersonal consequences,24,15.0,33.0
deter_others_possible,Public shaming or damage reputation,14,7.0,22.0
deter_others_possible,Use the legal system or law enforcement,14,7.0,22.0
deter_possible,"Communicate, confront, or seek apology",68,55.0,81.0
deter_possible,Education or community service,14,7.0,21.0
deter_possible,Financial or professional consequences,30,21.0,40.0
deter_possible,Forgiveness or restorative justice,8,3.0,14.0
deter_possible,Involve other authorities outside legal system,8,3.0,13.0
deter_possible,Mediation or arbitration,4,1.0,8.0
deter_possible,None of the above,12,6.0,19.0
deter_possible,Other social or interpersonal consequences,23,15.0,33.0
deter_possible,Public shaming or damage reputation,10,4.0,16.024999999999977
deter_possible,Use the legal system or law enforcement,12,6.0,19.0
grim_trigger,"Communicate, confront, or seek apology",48,38.0,59.0
grim_trigger,Education or community service,5,1.0,10.0
grim_trigger,Financial or professional consequences,13,7.0,20.0
grim_trigger,Forgiveness or restorative justice,1,0.0,3.0
grim_trigger,Involve other authorities outside legal system,6,2.0,11.0
grim_trigger,Mediation or arbitration,8,3.0,14.0
grim_trigger,None of the above,20,13.0,29.0
grim_trigger,Other social or interpersonal consequences,9,4.0,15.0
