scenario_id,context_key,question_key,prompt,completion,split_index,human_labels,labels
18,offense_will_not_recur,methods_pres,"Lisa and Michael were supposed to meet up to buy and sell a PS5. Lisa showed up and Michael demanded a higher price. We know for certain that Michael will not do this again, i.e., Michael will not act like this towards Lisa again. How should Lisa punish Michael?\n\nAnswer: Lisa should punish Michael in the following ways:",5. Find another seller: Lisa should not continue to do business with Michael and should instead find another seller who is more reliable and trustworthy.,4,Financial or professional consequences,None of the above
39,offense_will_recur_despite_punishment,methods_pres,"Jen asked Jake to prom. Jake said yes, but a week before the event, Jake tells Jen that he cannot go to the prom with her because he has a girlfriend. We know for certain that Jake will ignore any punishment and do this again, i.e., Jake will act like this towards Jen again. How should Jen punish Jake?\n\nAnswer: Jen should punish Jake in the following ways:",4. Use this experience as a learning opportunity to set boundaries and expectations in future relationships.,3,None of the above,Education or community service
12,offense_will_recur,methods_pres,"Carl is an alcoholic that asked to borrow Melanie's car to go to the post office. She told him he could but only if he went there and straight back. Instead Carl went to the bar and got drunk and tried to drive home and ended up crashing the car into a tree. We know for certain that Carl will do this again, i.e., Carl will act like this towards Melanie again. How should Melanie punish Carl?\n\nAnswer: Melanie should punish Carl in the following ways:","It is important to note that punishment should be focused on helping Carl understand the consequences of his actions and encouraging him to seek help for his addiction, rather than simply seeking revenge or causing him harm.",6,None of the above,Education or community service
5,offense_will_recur,methods_pres,"Bobby took money from his friend Greg's wallet. We know for certain that Bobby will do this again, i.e., Bobby will act like this towards Greg again. How should Greg punish Bobby?\n\nAnswer: Greg should punish Bobby in the following ways:","6. Reevaluate the friendship: If Bobby continues to steal from Greg despite attempts to address the issue, Greg may need to consider ending the friendship to protect himself and his belongings.",5,Other social or interpersonal consequences,None of the above
9,offense_will_recur,methods_pres,"Tim borrowed Ann's car and damaged the front fender. We know for certain that Tim will do this again, i.e., Tim will act like this towards Ann again. How should Ann punish Tim?\n\nAnswer: Ann should punish Tim in the following ways:","Remember, the goal of punishment is not to harm or seek revenge but to teach a lesson and prevent future negative behavior. It's important for Ann to communicate her feelings and expectations clearly and to follow through with any consequences she sets.",5,None of the above,"Communicate, confront, or seek apology"
34,offense_will_recur_despite_punishment,methods_pres,"David agrees that he will pick up his dog poop on Shawn's lawn when walking his dog. David has not been picking up the dog poop after his morning walks. We know for certain that David will ignore any punishment and do this again, i.e., David will act like this towards Shawn again. How should Shawn punish David?\n\nAnswer: Shawn should punish David in the following ways:",It's important to note that Shawn should try to resolve the issue peacefully and avoid any aggressive or violent confrontations.,6,None of the above,"Communicate, confront, or seek apology"
26,offense_will_not_recur,methods_pres,"Chris and Ryan planned to buy an Xbox together and each keep it in their homes 50% of the time. Now that the Xbox is at Chris's house, he has locked the door and will keep the Xbox there 100% of the time. We know for certain that Chris will not do this again, i.e., Chris will not act like this towards Ryan again. How should Ryan punish Chris?\n\nAnswer: Ryan should punish Chris in the following ways:","4. Consider taking a break from the friendship: If Chris continues to act selfishly or does not take Ryan's feelings into consideration, Ryan may need to distance himself from the friendship for a while. This will give both parties time to reflect on their actions and determine if the friendship is worth continuing.",3,Other social or interpersonal consequences,Other social or interpersonal consequences
39,offense_will_recur,methods_pres,"Jen asked Jake to prom. Jake said yes, but a week before the event, Jake tells Jen that he cannot go to the prom with her because he has a girlfriend. We know for certain that Jake will do this again, i.e., Jake will act like this towards Jen again. How should Jen punish Jake?\n\nAnswer: Jen should punish Jake in the following ways:",1. Confront Jake about his dishonesty and express her disappointment in his actions.,0,"Communicate, confront, or seek apology","Communicate, confront, or seek apology"
20,offense_will_recur_despite_punishment,methods_pres,"Margaret is renting a room for a month's stay from Rose. Two weeks into the one-month stay, Rose tells Margaret they need to vacate the property.  We know for certain that Rose will ignore any punishment and do this again, i.e., Rose will act like this towards Margaret again. How should Margaret punish Rose?\n\nAnswer: Margaret should punish Rose in the following ways:",1. Report Rose to the local housing authorities or rental board for violating tenant rights and regulations. This could lead to fines or other penalties for Rose.,0,Involve other authorities outside legal system,Involve other authorities outside legal system
16,offense_will_not_recur,methods_pres,"Dar and Milo are neighbors. Dar offered to trade pet care when the other is out of town, and Milo accepted the offer. Dar took care of Milo's dog three times while Milo was out of town. When a day came that Dar needed to go out of town, Dar said he was too busy to take care of Milo's dog. We know for certain that Dar will not do this again, i.e., Dar will not act like this towards Milo again. How should Milo punish Dar?\n\nAnswer: Milo should punish Dar in the following ways:","Remember, it is essential to approach the situation calmly and reasonably, focusing on finding a solution that benefits both parties and maintains a positive relationship between neighbors.",4,None of the above,"Communicate, confront, or seek apology"
15,offense_will_recur_despite_punishment,methods_pres,"Shannon borrows $3,000 from her friend Dylan to start a new business and promises to pay it back. Shannon later decides to close the business but does not pay the money back to Dylan. We know for certain that Shannon will ignore any punishment and do this again, i.e., Shannon will act like this towards Dylan again. How should Dylan punish Shannon?\n\nAnswer: Dylan should punish Shannon in the following ways:","2. Discuss the situation with Shannon and express disappointment and frustration with her behavior, emphasizing the importance of trust and responsibility in their friendship.",1,"Communicate, confront, or seek apology",Other social or interpersonal consequences
5,offense_will_not_recur,methods_pres,"Bobby took money from his friend Greg's wallet. We know for certain that Bobby will not do this again, i.e., Bobby will not act like this towards Greg again. How should Greg punish Bobby?\n\nAnswer: Greg should punish Bobby in the following ways:",2. Ask Bobby to apologize sincerely for his actions and promise not to repeat such behavior in the future.,1,"Communicate, confront, or seek apology","Communicate, confront, or seek apology"
43,offense_will_recur_despite_punishment,methods_pres,"At a concert, Sam threw a bottle that hit Victor on the head. We know for certain that Sam will ignore any punishment and do this again, i.e., Sam will act like this towards Victor again. How should Victor punish Sam?\n\nAnswer: Victor should punish Sam in the following ways:","1. Report the incident to the concert security or venue staff, so they can take appropriate action, such as removing Sam from the event or banning him from future events.",0,Involve other authorities outside legal system,Use the legal system or law enforcement
47,offense_will_not_recur,methods_pres,"In a school's online forum, Rachel shared private and embarrassing photos of her classmate, Lucy. We know for certain that Rachel will not do this again, i.e., Rachel will not act like this towards Lucy again. How should Lucy punish Rachel?\n\nAnswer: Lucy should punish Rachel in the following ways:","It is important to note that Lucy should not seek revenge or engage in any form of retaliation against Rachel, as this can escalate the situation and potentially lead to further harm for both parties. Instead, focusing on constructive solutions and promoting understanding can help both Lucy and Rachel learn from the incident and move forward in a positive manner.",5,None of the above,Forgiveness or restorative justice
4,offense_will_not_recur,methods_pres,"Arianne and Robert and girlfriend and boyfriend. They started watching The Office together and they promised to watch every episode together, but one day Robert was very bored so he watched a few episodes without telling her, and she found out. We know for certain that Robert will not do this again, i.e., Robert will not act like this towards Arianne again. How should Arianne punish Robert?\n\nAnswer: Arianne should punish Robert in the following ways:","4. Create a ""promise jar"" where both Arianne and Robert can write down promises they make to each other and place them in the jar. This will serve as a visual reminder of the commitments they've made to one another and help them hold each other accountable.",3,None of the above,Other social or interpersonal consequences
10,offense_will_recur_despite_punishment,methods_pres,"Jack took money out of Jane's purse. He didn't ask her and she didn't want to give him any more money. We know for certain that Jack will ignore any punishment and do this again, i.e., Jack will act like this towards Jane again. How should Jane punish Jack?\n\nAnswer: Jane should punish Jack in the following ways:","3. Jane can also consider implementing stricter security measures, such as keeping her purse in a locked drawer or using a wallet with a combination lock to prevent Jack from accessing her money.",2,None of the above,None of the above
