context_key,labels,count,CI_Lower,CI_Upper
cost_10,"Communicate, confront, or seek apology",86,71.0,101.0
cost_10,Education or community service,15,8.0,23.0
cost_10,Financial or professional consequences,38,27.975,49.02499999999998
cost_10,Forgiveness or restorative justice,5,1.0,10.0
cost_10,Involve other authorities outside legal system,11,5.0,18.0
cost_10,Mediation or arbitration,15,8.0,23.0
cost_10,None of the above,32,22.0,42.0
cost_10,Other social or interpersonal consequences,35,25.0,47.0
cost_10,Public shaming or damage reputation,21,13.0,30.0
cost_10,Use the legal system or law enforcement,21,13.0,29.024999999999977
cost_10000,"Communicate, confront, or seek apology",86,72.0,102.0
cost_10000,Education or community service,12,5.975000000000001,19.0
cost_10000,Financial or professional consequences,50,38.0,62.0
cost_10000,Forgiveness or restorative justice,5,1.0,10.0
cost_10000,Involve other authorities outside legal system,7,2.9750000000000014,12.0
cost_10000,Mediation or arbitration,16,9.0,24.0
cost_10000,None of the above,44,32.0,56.0
cost_10000,Other social or interpersonal consequences,37,26.0,48.0
cost_10000,Public shaming or damage reputation,17,10.0,25.0
cost_10000,Use the legal system or law enforcement,20,12.0,30.0
deter_impossible,"Communicate, confront, or seek apology",88,74.0,104.0
deter_impossible,Education or community service,16,9.0,25.0
deter_impossible,Financial or professional consequences,26,17.0,35.0
deter_impossible,Forgiveness or restorative justice,2,0.0,5.0
deter_impossible,Involve other authorities outside legal system,21,13.0,30.0
deter_impossible,Mediation or arbitration,8,3.0,14.0
deter_impossible,None of the above,42,31.0,53.0
deter_impossible,Other social or interpersonal consequences,42,31.0,53.0
deter_impossible,Public shaming or damage reputation,17,9.0,25.024999999999977
deter_impossible,Use the legal system or law enforcement,16,9.0,24.0
deter_others_impossible,"Communicate, confront, or seek apology",92,78.0,107.0
deter_others_impossible,Education or community service,21,12.0,30.0
deter_others_impossible,Financial or professional consequences,33,23.0,44.0
deter_others_impossible,Forgiveness or restorative justice,7,3.0,13.0
deter_others_impossible,Involve other authorities outside legal system,12,6.0,19.0
deter_others_impossible,Mediation or arbitration,8,3.0,14.0
deter_others_impossible,None of the above,36,25.0,47.0
deter_others_impossible,Other social or interpersonal consequences,34,24.0,45.0
deter_others_impossible,Public shaming or damage reputation,15,8.0,23.0
deter_others_impossible,Use the legal system or law enforcement,19,11.0,27.024999999999977
deter_others_possible,"Communicate, confront, or seek apology",98,83.975,114.02499999999998
deter_others_possible,Education or community service,14,7.0,22.0
deter_others_possible,Financial or professional consequences,33,23.0,44.0
deter_others_possible,Forgiveness or restorative justice,4,1.0,9.0
deter_others_possible,Involve other authorities outside legal system,22,14.0,32.0
deter_others_possible,Mediation or arbitration,14,7.975000000000001,22.0
deter_others_possible,None of the above,11,5.0,18.0
deter_others_possible,Other social or interpersonal consequences,46,34.0,58.02499999999998
deter_others_possible,Public shaming or damage reputation,34,23.0,45.0
deter_others_possible,Use the legal system or law enforcement,25,16.0,35.0
deter_possible,"Communicate, confront, or seek apology",101,84.975,118.0
deter_possible,Education or community service,12,6.0,19.0
deter_possible,Financial or professional consequences,39,28.0,51.02499999999998
deter_possible,Forgiveness or restorative justice,7,2.0,13.0
deter_possible,Involve other authorities outside legal system,12,5.0,19.0
deter_possible,Mediation or arbitration,10,4.0,16.0
deter_possible,None of the above,19,11.0,27.0
deter_possible,Other social or interpersonal consequences,52,39.0,65.0
deter_possible,Public shaming or damage reputation,21,13.0,30.0
deter_possible,Use the legal system or law enforcement,17,10.0,25.0
grim_trigger,"Communicate, confront, or seek apology",108,90.975,124.0
grim_trigger,Education or community service,12,6.0,19.0
grim_trigger,Financial or professional consequences,30,20.0,41.0
grim_trigger,Forgiveness or restorative justice,4,1.0,8.0
grim_trigger,Involve other authorities outside legal system,12,6.0,19.0
grim_trigger,Mediation or arbitration,14,7.0,21.0
grim_trigger,None of the above,32,21.0,43.0
grim_trigger,Other social or interpersonal consequences,53,41.0,66.0
grim_trigger,Public shaming or damage reputation,15,9.0,23.0
grim_trigger,Use the legal system or law enforcement,16,9.0,24.0
interaction_continuous,"Communicate, confront, or seek apology",113,98.0,129.02499999999998
interaction_continuous,Education or community service,23,14.0,32.0
interaction_continuous,Financial or professional consequences,33,23.0,44.02499999999998
interaction_continuous,Forgiveness or restorative justice,3,0.0,6.0
interaction_continuous,Involve other authorities outside legal system,10,4.975000000000001,16.0
interaction_continuous,Mediation or arbitration,10,5.0,17.0
interaction_continuous,None of the above,39,28.0,51.0
interaction_continuous,Other social or interpersonal consequences,45,34.0,57.02499999999998
interaction_continuous,Public shaming or damage reputation,9,4.0,15.0
interaction_continuous,Use the legal system or law enforcement,11,5.0,19.0
interaction_not_continuous,"Communicate, confront, or seek apology",86,71.0,102.0
interaction_not_continuous,Education or community service,12,6.0,19.0
interaction_not_continuous,Financial or professional consequences,30,20.0,41.0
interaction_not_continuous,Forgiveness or restorative justice,6,2.0,11.0
interaction_not_continuous,Involve other authorities outside legal system,21,13.0,29.0
interaction_not_continuous,Mediation or arbitration,3,0.0,6.024999999999977
interaction_not_continuous,None of the above,36,25.0,47.0
interaction_not_continuous,Other social or interpersonal consequences,44,33.0,57.0
interaction_not_continuous,Public shaming or damage reputation,24,15.0,34.0
interaction_not_continuous,Use the legal system or law enforcement,19,11.0,28.0
legal_implications,"Communicate, confront, or seek apology",88,73.975,104.0
legal_implications,Education or community service,14,7.0,22.0
legal_implications,Financial or professional consequences,33,22.0,44.0
legal_implications,Forgiveness or restorative justice,1,0.0,3.0
legal_implications,Involve other authorities outside legal system,22,13.0,31.0
legal_implications,Mediation or arbitration,21,13.0,30.0
legal_implications,None of the above,29,19.0,39.0
legal_implications,Other social or interpersonal consequences,29,19.0,39.0
legal_implications,Physical violence or revenge,1,0.0,3.0
legal_implications,Public shaming or damage reputation,15,8.975000000000001,23.0
legal_implications,Use the legal system or law enforcement,41,29.0,53.0
legal_implications_none,"Communicate, confront, or seek apology",97,82.0,113.02499999999998
legal_implications_none,Education or community service,25,17.0,34.02499999999998
legal_implications_none,Financial or professional consequences,35,25.0,46.0
legal_implications_none,Forgiveness or restorative justice,9,4.0,15.0
legal_implications_none,Involve other authorities outside legal system,11,5.0,17.0
legal_implications_none,Mediation or arbitration,7,2.0,12.0
legal_implications_none,None of the above,29,19.0,39.0
legal_implications_none,Other social or interpersonal consequences,39,28.0,50.0
legal_implications_none,Public shaming or damage reputation,19,12.0,27.0
legal_implications_none,Use the legal system or law enforcement,11,5.0,18.0
no_context,"Communicate, confront, or seek apology",87,72.0,102.0
no_context,Education or community service,10,5.0,16.024999999999977
no_context,Financial or professional consequences,35,25.0,46.0
no_context,Forgiveness or restorative justice,8,3.0,14.0
no_context,Involve other authorities outside legal system,12,6.0,19.0
no_context,Mediation or arbitration,16,9.0,24.0
no_context,None of the above,43,32.0,55.02499999999998
no_context,Other social or interpersonal consequences,36,25.0,47.0
no_context,Public shaming or damage reputation,10,4.0,17.0
no_context,Use the legal system or law enforcement,22,15.0,31.0
offense_will_not_recur,"Communicate, confront, or seek apology",109,93.0,126.0
offense_will_not_recur,Education or community service,26,17.0,36.0
offense_will_not_recur,Financial or professional consequences,41,30.0,52.0
offense_will_not_recur,Forgiveness or restorative justice,14,7.0,21.024999999999977
offense_will_not_recur,Involve other authorities outside legal system,13,6.0,20.0
offense_will_not_recur,Mediation or arbitration,7,2.0,12.0
offense_will_not_recur,None of the above,20,11.975000000000001,29.0
offense_will_not_recur,Other social or interpersonal consequences,40,29.0,52.0
offense_will_not_recur,Public shaming or damage reputation,9,4.0,15.0
offense_will_not_recur,Use the legal system or law enforcement,6,2.0,11.0
offense_will_recur,"Communicate, confront, or seek apology",81,66.0,96.0
offense_will_recur,Education or community service,18,10.0,27.0
offense_will_recur,Financial or professional consequences,34,24.0,46.0
offense_will_recur,Forgiveness or restorative justice,3,0.0,7.0
offense_will_recur,Involve other authorities outside legal system,20,12.0,29.0
offense_will_recur,Mediation or arbitration,4,1.0,8.0
offense_will_recur,None of the above,38,27.0,50.0
offense_will_recur,Other social or interpersonal consequences,46,34.0,58.0
offense_will_recur,Public shaming or damage reputation,17,10.0,26.0
offense_will_recur,Use the legal system or law enforcement,26,17.0,36.0
offense_will_recur_despite_punishment,"Communicate, confront, or seek apology",56,45.0,68.0
offense_will_recur_despite_punishment,Education or community service,13,6.0,20.0
offense_will_recur_despite_punishment,Financial or professional consequences,22,13.975000000000001,31.0
offense_will_recur_despite_punishment,Forgiveness or restorative justice,1,0.0,3.0
offense_will_recur_despite_punishment,Involve other authorities outside legal system,25,16.0,35.0
offense_will_recur_despite_punishment,Mediation or arbitration,7,2.0,13.0
offense_will_recur_despite_punishment,None of the above,45,33.0,58.0
offense_will_recur_despite_punishment,Other social or interpersonal consequences,66,53.0,80.0
offense_will_recur_despite_punishment,Public shaming or damage reputation,28,18.0,38.02499999999998
offense_will_recur_despite_punishment,Use the legal system or law enforcement,26,17.0,36.0
others_ambivalent,"Communicate, confront, or seek apology",100,84.0,116.0
others_ambivalent,Education or community service,19,12.0,28.0
others_ambivalent,Financial or professional consequences,36,26.0,47.0
others_ambivalent,Forgiveness or restorative justice,6,2.0,11.0
others_ambivalent,Involve other authorities outside legal system,13,7.0,20.0
others_ambivalent,Mediation or arbitration,16,9.0,24.0
others_ambivalent,None of the above,37,26.0,48.02499999999998
others_ambivalent,Other social or interpersonal consequences,22,13.0,31.0
others_ambivalent,Public shaming or damage reputation,13,7.0,20.0
others_ambivalent,Use the legal system or law enforcement,19,11.0,29.0
others_do_not_want_punishment,"Communicate, confront, or seek apology",106,90.0,121.0
others_do_not_want_punishment,Education or community service,10,4.0,16.0
others_do_not_want_punishment,Financial or professional consequences,31,21.0,42.0
others_do_not_want_punishment,Forgiveness or restorative justice,13,7.0,20.0
others_do_not_want_punishment,Involve other authorities outside legal system,17,10.0,26.0
others_do_not_want_punishment,Mediation or arbitration,20,12.0,28.0
others_do_not_want_punishment,None of the above,36,25.0,46.0
others_do_not_want_punishment,Other social or interpersonal consequences,32,23.0,43.0
others_do_not_want_punishment,Public shaming or damage reputation,6,2.0,11.0
others_do_not_want_punishment,Use the legal system or law enforcement,15,8.0,23.0
others_want_punishment,"Communicate, confront, or seek apology",95,78.975,111.0
others_want_punishment,Education or community service,22,14.0,31.0
others_want_punishment,Financial or professional consequences,39,28.0,51.0
others_want_punishment,Forgiveness or restorative justice,10,5.0,17.0
others_want_punishment,Involve other authorities outside legal system,16,9.0,24.0
others_want_punishment,Mediation or arbitration,12,6.0,19.0
others_want_punishment,None of the above,27,19.0,37.0
others_want_punishment,Other social or interpersonal consequences,36,25.0,47.0
others_want_punishment,Physical violence or revenge,2,0.0,5.0
others_want_punishment,Public shaming or damage reputation,20,12.0,29.0
others_want_punishment,Use the legal system or law enforcement,30,21.0,41.0
others_will_not_punish,"Communicate, confront, or seek apology",86,69.0,101.0
others_will_not_punish,Education or community service,24,15.0,33.0
others_will_not_punish,Financial or professional consequences,42,31.0,54.02499999999998
others_will_not_punish,Forgiveness or restorative justice,7,2.0,13.0
others_will_not_punish,Involve other authorities outside legal system,20,12.0,29.0
others_will_not_punish,Mediation or arbitration,13,6.0,20.0
others_will_not_punish,None of the above,30,20.0,40.0
others_will_not_punish,Other social or interpersonal consequences,39,28.0,51.02499999999998
others_will_not_punish,Physical violence or revenge,1,0.0,3.0
others_will_not_punish,Public shaming or damage reputation,19,11.0,27.0
others_will_not_punish,Use the legal system or law enforcement,21,12.0,30.0
others_will_punish,"Communicate, confront, or seek apology",96,81.0,112.02499999999998
others_will_punish,Education or community service,17,9.0,24.024999999999977
others_will_punish,Financial or professional consequences,37,26.975,48.0
others_will_punish,Forgiveness or restorative justice,11,5.0,17.024999999999977
others_will_punish,Involve other authorities outside legal system,16,9.0,24.0
others_will_punish,Mediation or arbitration,10,4.0,16.0
others_will_punish,None of the above,27,17.975,37.0
others_will_punish,Other social or interpersonal consequences,38,27.975,48.0
others_will_punish,Physical violence or revenge,1,0.0,3.0
others_will_punish,Public shaming or damage reputation,15,8.0,23.0
others_will_punish,Use the legal system or law enforcement,20,12.0,29.0
reputation_decrease,"Communicate, confront, or seek apology",98,83.0,114.0
reputation_decrease,Education or community service,14,7.0,22.0
reputation_decrease,Financial or professional consequences,29,19.0,40.0
reputation_decrease,Forgiveness or restorative justice,8,3.0,14.0
reputation_decrease,Involve other authorities outside legal system,12,6.0,19.0
reputation_decrease,Mediation or arbitration,20,12.0,29.0
reputation_decrease,None of the above,33,23.0,44.0
reputation_decrease,Other social or interpersonal consequences,42,30.975,53.0
reputation_decrease,Public shaming or damage reputation,14,7.0,22.0
reputation_decrease,Use the legal system or law enforcement,14,7.0,22.0
reputation_improve,"Communicate, confront, or seek apology",87,72.0,102.0
reputation_improve,Education or community service,22,14.0,31.0
reputation_improve,Financial or professional consequences,31,21.0,41.02499999999998
reputation_improve,Forgiveness or restorative justice,1,0.0,3.0
reputation_improve,Involve other authorities outside legal system,14,7.0,21.0
reputation_improve,Mediation or arbitration,10,4.975000000000001,17.0
reputation_improve,None of the above,22,13.0,32.0
reputation_improve,Other social or interpersonal consequences,55,42.0,69.0
reputation_improve,Public shaming or damage reputation,40,29.0,52.0
reputation_improve,Use the legal system or law enforcement,24,15.0,34.0
reputation_same,"Communicate, confront, or seek apology",90,74.975,106.0
reputation_same,Education or community service,11,5.0,18.0
reputation_same,Financial or professional consequences,36,26.0,48.0
reputation_same,Forgiveness or restorative justice,8,3.0,13.024999999999977
reputation_same,Involve other authorities outside legal system,23,15.0,32.0
reputation_same,Mediation or arbitration,10,4.0,16.0
reputation_same,None of the above,31,21.0,42.0
